STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,DAPR,MDPR,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT09
US1NJBG0023,"OAKLAND 0.9 SSE, NJ US",41.0191,-74.2334,149.4,3/25/18,,,0,0,1.5,,,,,,,,,,,
US1NJBG0023,"OAKLAND 0.9 SSE, NJ US",41.0191,-74.2334,149.4,3/26/18,,,0,0,1,,,,,,,,,,,
US1NJBG0023,"OAKLAND 0.9 SSE, NJ US",41.0191,-74.2334,149.4,3/27/18,,,0,0,0,,,,,,,,,,,
US1NJBG0023,"OAKLAND 0.9 SSE, NJ US",41.0191,-74.2334,149.4,3/28/18,,,0.08,0,0,,,,,,,,,,,
US1NJBG0023,"OAKLAND 0.9 SSE, NJ US",41.0191,-74.2334,149.4,3/29/18,,,0,0,0,,,,,,,,,,,
US1NJBG0023,"OAKLAND 0.9 SSE, NJ US",41.0191,-74.2334,149.4,3/30/18,,,0.07,0,0,,,,,,,,,,,
US1NJBG0023,"OAKLAND 0.9 SSE, NJ US",41.0191,-74.2334,149.4,3/31/18,,,0.01,0,0,,,,,,,,,,,
US1NJBG0023,"OAKLAND 0.9 SSE, NJ US",41.0191,-74.2334,149.4,4/1/18,,,0,0,0,,,,,,,,,,,
US1NJBG0023,"OAKLAND 0.9 SSE, NJ US",41.0191,-74.2334,149.4,4/2/18,,,0.32,3.5,3.5,,,,,,,,,,,
US1NJBG0023,"OAKLAND 0.9 SSE, NJ US",41.0191,-74.2334,149.4,4/3/18,,,0.21,3,1,,,,,,,,,,,
US1NJBG0023,"OAKLAND 0.9 SSE, NJ US",41.0191,-74.2334,149.4,4/4/18,,,0.5,0,0,,,,,,,,,,,
US1NJBG0023,"OAKLAND 0.9 SSE, NJ US",41.0191,-74.2334,149.4,4/5/18,,,0.03,0,0,,,,,,,,,,,
US1NJBG0023,"OAKLAND 0.9 SSE, NJ US",41.0191,-74.2334,149.4,4/6/18,,,0,0,0,,,,,,,,,,,
US1NJBG0023,"OAKLAND 0.9 SSE, NJ US",41.0191,-74.2334,149.4,4/7/18,,,0.05,0,0,,,,,,,,,,,
US1NJBG0023,"OAKLAND 0.9 SSE, NJ US",41.0191,-74.2334,149.4,4/8/18,,,0,0,0,,,,,,,,,,,
USC00280907,"BOONTON 1 SE, NJ US",40.8917,-74.3962,85.3,1/1/18,,,0,0,0,,13,4,,,,,,,,
USC00280907,"BOONTON 1 SE, NJ US",40.8917,-74.3962,85.3,1/2/18,,,0,0,0,,17,3,,,,,,,,
USC00280907,"BOONTON 1 SE, NJ US",40.8917,-74.3962,85.3,1/3/18,,,0,0,0,,24,7,,,,,,,,
USC00280907,"BOONTON 1 SE, NJ US",40.8917,-74.3962,85.3,1/4/18,,,0,0,0,,27,5,,,,,,,,
USC00280907,"BOONTON 1 SE, NJ US",40.8917,-74.3962,85.3,1/5/18,,,0.56,5,5,,24,7,,,,,,,,
USC00280907,"BOONTON 1 SE, NJ US",40.8917,-74.3962,85.3,1/6/18,,,0,0,,,14,4,,,,,,,,
USC00280907,"BOONTON 1 SE, NJ US",40.8917,-74.3962,85.3,1/7/18,,,0,0,5,,11,1,,,,,,,,
USC00280907,"BOONTON 1 SE, NJ US",40.8917,-74.3962,85.3,1/8/18,,,0,0,,,18,2,,,,,,,,
USC00280907,"BOONTON 1 SE, NJ US",40.8917,-74.3962,85.3,1/9/18,,,0,0,,,29,17,,,,,,,,
USC00280907,"BOONTON 1 SE, NJ US",40.8917,-74.3962,85.3,1/10/18,,,0,0,,,41,18,,,,,,,,
USC00280907,"BOONTON 1 SE, NJ US",40.8917,-74.3962,85.3,1/11/18,,,0,0,,,40,18,,,,,,,,
USC00280907,"BOONTON 1 SE, NJ US",40.8917,-74.3962,85.3,1/12/18,,,0.05,0,0,,49,33,,,,,,,,
USC00280907,"BOONTON 1 SE, NJ US",40.8917,-74.3962,85.3,1/13/18,,,2.4,0,0,,63,36,,,,,,,,
USC00280907,"BOONTON 1 SE, NJ US",40.8917,-74.3962,85.3,1/14/18,,,0,0,0,,36,12,,,,,,,,
USC00280907,"BOONTON 1 SE, NJ US",40.8917,-74.3962,85.3,1/15/18,,,0,0,0,,23,11,,,,,,,,
USC00280907,"BOONTON 1 SE, NJ US",40.8917,-74.3962,85.3,1/16/18,,,0,0,0,,30,15,,,,,,,,
USC00280907,"BOONTON 1 SE, NJ US",40.8917,-74.3962,85.3,1/17/18,,,0.12,1,1,,33,23,,,,,,,,
USC00280907,"BOONTON 1 SE, NJ US",40.8917,-74.3962,85.3,1/18/18,,,0.05,0.5,2,,32,12,,,,,,,,
USC00280907,"BOONTON 1 SE, NJ US",40.8917,-74.3962,85.3,1/19/18,,,0,0,1,,30,11,,,,,,,,
USC00280907,"BOONTON 1 SE, NJ US",40.8917,-74.3962,85.3,1/20/18,,,0,0,1,,37,11,,,,,,,,
USC00280907,"BOONTON 1 SE, NJ US",40.8917,-74.3962,85.3,1/21/18,,,0,0,0,,47,26,,,,,,,,
USC00280907,"BOONTON 1 SE, NJ US",40.8917,-74.3962,85.3,1/22/18,,,0.01,0,0,,48,28,,,,,,,,
USC00280907,"BOONTON 1 SE, NJ US",40.8917,-74.3962,85.3,1/23/18,,,0.71,0,0,,48,36,,,,,,,,
USC00280907,"BOONTON 1 SE, NJ US",40.8917,-74.3962,85.3,1/24/18,,,0.13,0,0,,56,38,,,,,,,,
USC00280907,"BOONTON 1 SE, NJ US",40.8917,-74.3962,85.3,1/25/18,,,0,0,0,,40,20,,,,,,,,
USC00280907,"BOONTON 1 SE, NJ US",40.8917,-74.3962,85.3,1/26/18,,,0,0,0,,32,19,,,,,,,,
USC00280907,"BOONTON 1 SE, NJ US",40.8917,-74.3962,85.3,1/27/18,,,0,0,0,,37,18,,,,,,,,
USC00280907,"BOONTON 1 SE, NJ US",40.8917,-74.3962,85.3,1/28/18,,,0.06,0,0,,52,23,,,,,,,,
USC00280907,"BOONTON 1 SE, NJ US",40.8917,-74.3962,85.3,1/29/18,,,0.04,0,0,,47,35,,,,,,,,
USC00280907,"BOONTON 1 SE, NJ US",40.8917,-74.3962,85.3,1/30/18,,,0,0,0,,44,29,,,,,,,,
