STATION,date,ENTRIES,EXITS
190 ST,2018-03-05,4479.0,1618.0
190 ST,2018-03-06,4705.0,1699.0
190 ST,2018-03-07,3484.0,1308.0
190 ST,2018-03-08,4761.0,1749.0
190 ST,2018-03-09,4329.0,1641.0
191 ST,2018-03-03,5586.0,5588.0
191 ST,2018-03-04,4594.0,4696.0
191 ST,2018-03-05,8404.0,9059.0
191 ST,2018-03-06,8794.0,9453.0
191 ST,2018-03-07,6392.0,6922.0
191 ST,2018-03-08,8657.0,9093.0
191 ST,2018-03-09,8637.0,8810.0
2 AV,2018-03-03,11745.0,13812.0
2 AV,2018-03-04,9211.0,9430.0
2 AV,2018-03-05,14084.0,14191.0
2 AV,2018-03-06,15611.0,15392.0
2 AV,2018-03-07,11790.0,11985.0
2 AV,2018-03-08,16289.0,16176.0
2 AV,2018-03-09,17129.0,18488.0
20 AV,2018-03-03,4795.0,1332.0
20 AV,2018-03-04,3928.0,1201.0
20 AV,2018-03-05,8556.0,2644.0
20 AV,2018-03-06,8810.0,2774.0
20 AV,2018-03-07,6760.0,2611.0
20 AV,2018-03-08,8580.0,2619.0
20 AV,2018-03-09,8530.0,2772.0
207 ST,2018-03-03,4750.0,2208.0
207 ST,2018-03-04,3678.0,1684.0
207 ST,2018-03-05,6703.0,3008.0
207 ST,2018-03-06,6913.0,3032.0
207 ST,2018-03-07,4388.0,1988.0
207 ST,2018-03-08,6543.0,2898.0
207 ST,2018-03-09,6763.0,3089.0
21 ST,2018-03-03,1429.0,1412.0
21 ST,2018-03-04,1311.0,1346.0
21 ST,2018-03-05,1774.0,1916.0
21 ST,2018-03-06,1767.0,1959.0
21 ST,2018-03-07,1400.0,1445.0
21 ST,2018-03-08,1679.0,1903.0
21 ST,2018-03-09,1734.0,1969.0
21 ST-QNSBRIDGE,2018-03-03,6349.0,4288.0
21 ST-QNSBRIDGE,2018-03-04,4776.0,3498.0
21 ST-QNSBRIDGE,2018-03-05,10762.0,6259.0
21 ST-QNSBRIDGE,2018-03-06,11246.0,6088.0
21 ST-QNSBRIDGE,2018-03-07,8576.0,5521.0
21 ST-QNSBRIDGE,2018-03-08,11063.0,6203.0
21 ST-QNSBRIDGE,2018-03-09,11357.0,6289.0
215 ST,2018-03-03,1120.0,472.0
215 ST,2018-03-04,878.0,384.0
215 ST,2018-03-05,2079.0,711.0
215 ST,2018-03-06,2076.0,758.0
215 ST,2018-03-07,1373.0,520.0
215 ST,2018-03-08,1835.0,769.0
215 ST,2018-03-09,1937.0,766.0
219 ST,2018-03-03,1894.0,823.0
219 ST,2018-03-04,1331.0,692.0
219 ST,2018-03-05,3440.0,1487.0
219 ST,2018-03-06,3642.0,1653.0
219 ST,2018-03-07,2539.0,1231.0
219 ST,2018-03-08,3394.0,1558.0
219 ST,2018-03-09,3442.0,1672.0
225 ST,2018-03-03,2195.0,921.0
225 ST,2018-03-04,1659.0,732.0
225 ST,2018-03-05,4121.0,1658.0
225 ST,2018-03-06,4295.0,1759.0
225 ST,2018-03-07,2973.0,1256.0
